literal_ea	name	text	ref	function	disasm
0x140a24760	TM__THWBxVSaWN2Zh7OMooFH0w_329	'>, #SIMULATION_STATE + '	0x140434a47	0x140433ba5 input__modelZsimulationZcode95gen_u4122	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_329
0x140a24760	TM__THWBxVSaWN2Zh7OMooFH0w_329	'>, #SIMULATION_STATE + '	0x140434a4e	0x140433ba5 input__modelZsimulationZcode95gen_u4122	mov     rdx, cs:off_140A24768
0x140a24850	TM__THWBxVSaWN2Zh7OMooFH0w_342	'(load(<U8>, #SIMULATION_STATE + '	0x1404351c9	0x140433ba5 input__modelZsimulationZcode95gen_u4122	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_342
0x140a24850	TM__THWBxVSaWN2Zh7OMooFH0w_342	'(load(<U8>, #SIMULATION_STATE + '	0x1404351d0	0x140433ba5 input__modelZsimulationZcode95gen_u4122	mov     rdx, cs:off_140A24858
0x140a249e0	TM__THWBxVSaWN2Zh7OMooFH0w_359	'load(<U'	0x14043588f	0x140435586 load_memory_word__modelZsimulationZcode95gen_u2133	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_359
0x140a249e0	TM__THWBxVSaWN2Zh7OMooFH0w_359	'load(<U'	0x140435896	0x140435586 load_memory_word__modelZsimulationZcode95gen_u2133	mov     rdx, cs:off_140A249E8
0x140a249f0	TM__THWBxVSaWN2Zh7OMooFH0w_360	'>, #SIMULATION_STATE + '	0x1404358d3	0x140435586 load_memory_word__modelZsimulationZcode95gen_u2133	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_360
0x140a249f0	TM__THWBxVSaWN2Zh7OMooFH0w_360	'>, #SIMULATION_STATE + '	0x1404358da	0x140435586 load_memory_word__modelZsimulationZcode95gen_u2133	mov     rdx, cs:off_140A249F8
0x140a24a20	TM__THWBxVSaWN2Zh7OMooFH0w_364	'load(<U'	0x140435c5e	0x140435586 load_memory_word__modelZsimulationZcode95gen_u2133	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_364
0x140a24a20	TM__THWBxVSaWN2Zh7OMooFH0w_364	'load(<U'	0x140435c65	0x140435586 load_memory_word__modelZsimulationZcode95gen_u2133	mov     rdx, cs:off_140A24A28
0x140a24a30	TM__THWBxVSaWN2Zh7OMooFH0w_365	'>, #SIMULATION_STATE + '	0x140435caa	0x140435586 load_memory_word__modelZsimulationZcode95gen_u2133	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_365
0x140a24a30	TM__THWBxVSaWN2Zh7OMooFH0w_365	'>, #SIMULATION_STATE + '	0x140435cb1	0x140435586 load_memory_word__modelZsimulationZcode95gen_u2133	mov     rdx, cs:off_140A24A38
0x140a24ce0	TM__THWBxVSaWN2Zh7OMooFH0w_393	'" { return load(<Int>, #SIMULATION_STATE + Int ('	0x14049b158	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_393
0x140a24ce0	TM__THWBxVSaWN2Zh7OMooFH0w_393	'" { return load(<Int>, #SIMULATION_STATE + Int ('	0x14049b15f	0x14048b0bd generate_source	mov     rdx, cs:off_140A24CE8
0x140a24e50	TM__THWBxVSaWN2Zh7OMooFH0w_405	' { return Int (U64 load(<U'	0x14049ba9b	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_405
0x140a24e50	TM__THWBxVSaWN2Zh7OMooFH0w_405	' { return Int (U64 load(<U'	0x14049baa2	0x14048b0bd generate_source	mov     rdx, cs:off_140A24E58
0x140a24e60	TM__THWBxVSaWN2Zh7OMooFH0w_406	'>, #SIMULATION_STATE + '	0x14049baed	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_406
0x140a24e60	TM__THWBxVSaWN2Zh7OMooFH0w_406	'>, #SIMULATION_STATE + '	0x14049baf4	0x14048b0bd generate_source	mov     rdx, cs:off_140A24E68
0x140a24f90	TM__THWBxVSaWN2Zh7OMooFH0w_417	"' { return load(type_of(size), #DATA_"	0x14049c1f3	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_417
0x140a24f90	TM__THWBxVSaWN2Zh7OMooFH0w_417	"' { return load(type_of(size), #DATA_"	0x14049c1fa	0x14048b0bd generate_source	mov     rdx, cs:off_140A24F98
0x140a24fe0	TM__THWBxVSaWN2Zh7OMooFH0w_421	"' { return load(type_of(size), #DATA_"	0x14049c4c6	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_421
0x140a24fe0	TM__THWBxVSaWN2Zh7OMooFH0w_421	"' { return load(type_of(size), #DATA_"	0x14049c4cd	0x14048b0bd generate_source	mov     rdx, cs:off_140A24FE8
0x140a25140	TM__THWBxVSaWN2Zh7OMooFH0w_432	"' { store(#DATA_"	0x14049cbaa	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_432
0x140a25140	TM__THWBxVSaWN2Zh7OMooFH0w_432	"' { store(#DATA_"	0x14049cbb1	0x14048b0bd generate_source	mov     rdx, cs:off_140A25148
0x140a251a0	TM__THWBxVSaWN2Zh7OMooFH0w_436	"' { store(#DATA_"	0x14049ce8e	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_436
0x140a251a0	TM__THWBxVSaWN2Zh7OMooFH0w_436	"' { store(#DATA_"	0x14049ce95	0x14048b0bd generate_source	mov     rdx, cs:off_140A251A8
0x140a253e0	TM__THWBxVSaWN2Zh7OMooFH0w_446	'\ndef max(a: TestResult, b: TestResult) TestResult {\n    return TestResult max(U64 a, U64 b)\n}\n\ndef set_error(input: String) {\n\n    let len = input.len()\n\n    store(.error_buffer, U16 len)\n\n    var i = 0\n    while i < len {\n        store(.error_buffer + i + 2, U8 input[i])\n        i += 1\n    }\n}\n\n'	0x14049d2b1	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_446
0x140a253e0	TM__THWBxVSaWN2Zh7OMooFH0w_446	'\ndef max(a: TestResult, b: TestResult) TestResult {\n    return TestResult max(U64 a, U64 b)\n}\n\ndef set_error(input: String) {\n\n    let len = input.len()\n\n    store(.error_buffer, U16 len)\n\n    var i = 0\n    while i < len {\n        store(.error_buffer + i + 2, U8 input[i])\n        i += 1\n    }\n}\n\n'	0x14049d2b8	0x14048b0bd generate_source	mov     rdx, cs:off_140A253E8
0x140a25660	TM__THWBxVSaWN2Zh7OMooFH0w_450	'    memory_clear(#SIMULATION_KEYBOARD_CHARACTER, 8192)\n'	0x14049d3bb	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_450
0x140a25660	TM__THWBxVSaWN2Zh7OMooFH0w_450	'    memory_clear(#SIMULATION_KEYBOARD_CHARACTER, 8192)\n'	0x14049d3c2	0x14048b0bd generate_source	mov     rdx, cs:off_140A25668
0x140a256d0	TM__THWBxVSaWN2Zh7OMooFH0w_452	'    memory_clear(#SIMULATION_KEYBOARD_COORDINATE, 8192)\n'	0x14049d40b	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_452
0x140a256d0	TM__THWBxVSaWN2Zh7OMooFH0w_452	'    memory_clear(#SIMULATION_KEYBOARD_COORDINATE, 8192)\n'	0x14049d412	0x14048b0bd generate_source	mov     rdx, cs:off_140A256D8
0x140a25710	TM__THWBxVSaWN2Zh7OMooFH0w_454	'    memory_clear(#SIMULATION_STATE, '	0x14049d50a	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_454
0x140a25710	TM__THWBxVSaWN2Zh7OMooFH0w_454	'    memory_clear(#SIMULATION_STATE, '	0x14049d511	0x14048b0bd generate_source	mov     rdx, cs:off_140A25718
0x140a25760	TM__THWBxVSaWN2Zh7OMooFH0w_459	'    store(Ptr '	0x14049d84f	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_459
0x140a25760	TM__THWBxVSaWN2Zh7OMooFH0w_459	'    store(Ptr '	0x14049d856	0x14048b0bd generate_source	mov     rdx, cs:off_140A25768
0x140a257c0	TM__THWBxVSaWN2Zh7OMooFH0w_464	'    memory_clear(#DATA_'	0x14049db8b	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_464
0x140a257c0	TM__THWBxVSaWN2Zh7OMooFH0w_464	'    memory_clear(#DATA_'	0x14049db92	0x14048b0bd generate_source	mov     rdx, cs:off_140A257C8
0x140a258a0	TM__THWBxVSaWN2Zh7OMooFH0w_473	' - 2048, #DATA_'	0x14049e01c	0x14048b0bd generate_source	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_473
0x140a258a0	TM__THWBxVSaWN2Zh7OMooFH0w_473	' - 2048, #DATA_'	0x14049e023	0x14048b0bd generate_source	mov     rdx, cs:off_140A258A8
0x140a25df0	TM__THWBxVSaWN2Zh7OMooFH0w_537	'store(#SIMULATION_STATE + '	0x140437b3f	0x140437079 store_output__modelZsimulationZcode95gen_u2221	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_537
0x140a25df0	TM__THWBxVSaWN2Zh7OMooFH0w_537	'store(#SIMULATION_STATE + '	0x140437b46	0x140437079 store_output__modelZsimulationZcode95gen_u2221	mov     rdx, cs:off_140A25DF8
0x140a25e20	TM__THWBxVSaWN2Zh7OMooFH0w_541	'store(#SIMULATION_STATE + '	0x140437da0	0x140437079 store_output__modelZsimulationZcode95gen_u2221	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_541
0x140a25e20	TM__THWBxVSaWN2Zh7OMooFH0w_541	'store(#SIMULATION_STATE + '	0x140437da7	0x140437079 store_output__modelZsimulationZcode95gen_u2221	mov     rdx, cs:off_140A25E28
0x140a25e50	TM__THWBxVSaWN2Zh7OMooFH0w_545	'store(#SIMULATION_STATE + '	0x140437faf	0x140437079 store_output__modelZsimulationZcode95gen_u2221	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_545
0x140a25e50	TM__THWBxVSaWN2Zh7OMooFH0w_545	'store(#SIMULATION_STATE + '	0x140437fb6	0x140437079 store_output__modelZsimulationZcode95gen_u2221	mov     rdx, cs:off_140A25E58
0x140a26950	TM__THWBxVSaWN2Zh7OMooFH0w_678	'    store(#SIMULATION_STATE + '	0x14043bc37	0x140437079 store_output__modelZsimulationZcode95gen_u2221	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_678
0x140a26950	TM__THWBxVSaWN2Zh7OMooFH0w_678	'    store(#SIMULATION_STATE + '	0x14043bc3e	0x140437079 store_output__modelZsimulationZcode95gen_u2221	mov     rdx, cs:off_140A26958
0x140a26990	TM__THWBxVSaWN2Zh7OMooFH0w_682	'    store(#SIMULATION_STATE + '	0x14043beee	0x140437079 store_output__modelZsimulationZcode95gen_u2221	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_682
0x140a26990	TM__THWBxVSaWN2Zh7OMooFH0w_682	'    store(#SIMULATION_STATE + '	0x14043bef5	0x140437079 store_output__modelZsimulationZcode95gen_u2221	mov     rdx, cs:off_140A26998
0x140a26a80	TM__THWBxVSaWN2Zh7OMooFH0w_697	'    store(#SIMULATION_STATE + '	0x14043c775	0x140437079 store_output__modelZsimulationZcode95gen_u2221	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_697
0x140a26a80	TM__THWBxVSaWN2Zh7OMooFH0w_697	'    store(#SIMULATION_STATE + '	0x14043c77c	0x140437079 store_output__modelZsimulationZcode95gen_u2221	mov     rdx, cs:off_140A26A88
0x140a26ab0	TM__THWBxVSaWN2Zh7OMooFH0w_701	'    store(#SIMULATION_STATE + '	0x14043c984	0x140437079 store_output__modelZsimulationZcode95gen_u2221	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_701
0x140a26ab0	TM__THWBxVSaWN2Zh7OMooFH0w_701	'    store(#SIMULATION_STATE + '	0x14043c98b	0x140437079 store_output__modelZsimulationZcode95gen_u2221	mov     rdx, cs:off_140A26AB8
0x140a26b30	TM__THWBxVSaWN2Zh7OMooFH0w_712	'store(#SIMULATION_STATE + '	0x14043d5c4	0x140437079 store_output__modelZsimulationZcode95gen_u2221	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_712
0x140a26b30	TM__THWBxVSaWN2Zh7OMooFH0w_712	'store(#SIMULATION_STATE + '	0x14043d5cb	0x140437079 store_output__modelZsimulationZcode95gen_u2221	mov     rdx, cs:off_140A26B38
0x140a26b70	TM__THWBxVSaWN2Zh7OMooFH0w_717	'store(#SIMULATION_STATE + '	0x14043d8e5	0x140437079 store_output__modelZsimulationZcode95gen_u2221	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_717
0x140a26b70	TM__THWBxVSaWN2Zh7OMooFH0w_717	'store(#SIMULATION_STATE + '	0x14043d8ec	0x140437079 store_output__modelZsimulationZcode95gen_u2221	mov     rdx, cs:off_140A26B78
0x140a27480	TM__THWBxVSaWN2Zh7OMooFH0w_918	'load(<U'	0x14043e270	0x14043df90 load_and_output__modelZsimulationZcode95gen_u3940	mov     rax, cs:TM__THWBxVSaWN2Zh7OMooFH0w_918
